DY
189
20
life_expectancy_at_birth_years;expected_years_of_schooling_years;mean_years_of_schooling_years;gross_national_income_GNI_per_capita_2017_PPP_$;GNI_rank_minus_HDI_rank;GINI_coefficient_2010-2018;life_expectancy_at_birth_women_years;life_expectancy_at_birth_men_years;expected_years_of_schooling_women_years;expected_years_of_schooling_men_years;population_millions;healthy_life_expectancy_at_birth;health_expenditure_2017_%_GDP;GDP_2017_PPP_$_billions;labour_force_participation_rate_%_aged_15_or_older;%_share_of_seats_in_parliament_women;adolescent_birth_rate_girls_aged_15-19;predicted_population_2030;total_fertility_rate_per_woman_2015-2020;prison_population_per_100_000
Eswatini (Kingdom of);60.2;11.8;6.9;7919;-19;54.6;64.8;56.0;11.8;11.9;1.1;50.6;6.9;10.0;52.5;12.1;76.7;1.3;3.0;304;3
Ghana;64.1;11.5;7.3;5269;-3;43.5;65.2;63.0;11.4;11.6;30.4;58.2;3.3;164.6;67.8;13.1;66.6;37.8;3.9;49;3
Vanuatu;70.5;11.7;7.1;3105;20;37.6;72.2;69.0;11.5;12.0;0.3;57.6;3.3;0.9;69.9;0.0;49.4;0.4;3.8;69;3
Timor-Leste;69.5;12.6;4.8;4440;3;28.7;71.6;67.5;12.2;13.0;1.3;61.7;3.9;4.0;67.3;38.5;33.8;1.6;4.1;55;3
Nepal;70.8;12.8;5.0;3457;13;32.8;72.2;69.3;13.0;12.6;28.6;61.5;5.6;97.7;83.8;33.5;65.1;33.4;1.9;68;3
Kenya;66.7;11.3;6.6;4244;5;40.8;69.0;64.3;11.0;11.7;52.6;58.3;4.8;227.6;74.7;23.3;75.1;66.4;3.5;102;3
Cambodia;69.8;11.5;5.0;4246;3;;71.9;67.5;11.0;11.9;16.5;61.2;5.9;72.4;82.3;19.3;50.2;18.8;2.5;191;3
Equatorial Guinea;58.7;9.7;5.9;13944;-57;;59.9;57.7;;;1.4;57.2;3.1;25.2;62.0;19.2;155.6;1.9;4.6;43;3
Zambia;63.9;11.5;7.2;3326;10;57.1;66.9;60.8;10.7;11.6;17.9;55.1;4.5;62.1;74.6;18.0;120.1;24.3;4.7;148;3
Myanmar;67.1;10.7;5.0;4961;-6;30.7;70.1;64.0;10.9;10.5;54.0;60.9;4.7;277.9;61.7;11.6;28.5;58.5;2.2;171;3
Angola;61.2;11.8;5.2;6104;-17;51.3;64.0;58.4;11.0;12.7;31.8;56.7;2.8;211.8;77.5;30.0;150.5;44.8;5.6;79;3
Congo;64.6;11.7;6.5;2879;13;48.9;66.0;63.1;11.6;11.9;5.4;57.0;2.9;17.7;69.4;13.6;112.2;7.0;4.5;26;3
Zimbabwe;61.5;11.0;8.5;2666;14;44.3;62.9;59.8;10.5;11.5;14.6;53.6;6.6;41.5;83.1;34.6;86.1;17.6;3.6;137;3
Solomon Islands;73.0;10.2;5.7;2253;17;37.1;74.9;71.3;9.7;10.7;0.7;52.7;4.7;1.6;83.8;4.1;78.0;0.9;4.4;75;3
